2017-05-18 22:34:33,2017-05-18 22:34:33,47.55733,-120.53900,24,97,3816.71,"Ti=96/Te=54/P= 64169/V=7988"
2017-05-18 22:34:48,2017-05-18 22:34:48,47.55717,-120.53800,19,100,3870.96,"Ti=96/Te=54/P= 63736/V=7988"
2017-05-18 22:35:03,2017-05-18 22:35:03,47.55717,-120.53650,28,96,3926.13,"Ti=95/Te=53/P= 63309/V=7988"
2017-05-18 22:35:18,2017-05-18 22:35:18,47.55717,-120.53517,17,87,3969.41,"Ti=96/Te=53/P= 62850/V=7988"
2017-05-18 22:35:33,2017-05-18 22:35:33,47.55717,-120.53400,19,82,4014.52,"Ti=95/Te=53/P= 62488/V=7988"
2017-05-18 22:35:48,2017-05-18 22:35:48,47.55717,-120.53300,17,94,4063.59,"Ti=95/Te=53/P= 62130/V=7988"
2017-05-18 22:36:03,2017-05-18 22:36:03,47.55700,-120.53183,30,100,4113.58,"Ti=95/Te=52/P= 61743/V=7988"
2017-05-18 22:36:18,2017-05-18 22:36:18,47.55700,-120.53067,22,71,4164.48,"Ti=95/Te=51/P= 61384/V=7988"
2017-05-18 22:36:33,2017-05-18 22:36:33,47.55700,-120.52933,26,94,4207.76,"Ti=95/Te=52/P= 60997/V=7988"
2017-05-18 22:36:48,2017-05-18 22:36:48,47.55700,-120.52800,24,87,4247.39,"Ti=95/Te=52/P= 60677/V=7988"
2017-05-18 22:37:03,2017-05-18 22:37:03,47.55717,-120.52650,26,77,4285.18,"Ti=95/Te=52/P= 60372/V=7988"
2017-05-18 22:37:18,2017-05-18 22:37:18,47.55717,-120.52500,35,94,4325.11,"Ti=95/Te=51/P= 60073/V=7988"
2017-05-18 22:37:33,2017-05-18 22:37:33,47.55717,-120.52317,37,82,4370.53,"Ti=95/Te=51/P= 59707/V=7988"
2017-05-18 22:37:48,2017-05-18 22:37:48,47.55717,-120.52150,28,84,4413.20,"Ti=95/Te=50/P= 59374/V=7967"
2017-05-18 22:38:03,2017-05-18 22:38:03,47.55700,-120.51983,37,107,4461.05,"Ti=95/Te=49/P= 59042/V=7988"
2017-05-18 22:38:18,2017-05-18 22:38:18,47.55650,-120.51750,43,97,4502.51,"Ti=95/Te=49/P= 58656/V=7988"
2017-05-18 22:38:33,2017-05-18 22:38:33,47.55650,-120.51550,31,108,4537.86,"Ti=95/Te=50/P= 58370/V=7967"
2017-05-18 22:38:48,2017-05-18 22:38:48,47.55617,-120.51400,31,102,4566.51,"Ti=95/Te=49/P= 58118/V=7988"
2017-05-18 22:39:03,2017-05-18 22:39:03,47.55567,-120.51217,37,111,4596.69,"Ti=95/Te=50/P= 57903/V=7967"
2017-05-18 22:39:18,2017-05-18 22:39:18,47.55517,-120.51050,30,110,4625.04,"Ti=95/Te=50/P= 57673/V=7967"
2017-05-18 22:39:33,2017-05-18 22:39:33,47.55467,-120.50883,35,109,4649.72,"Ti=95/Te=50/P= 57467/V=7967"
2017-05-18 22:39:48,2017-05-18 22:39:48,47.55433,-120.50717,31,101,4676.24,"Ti=95/Te=50/P= 57270/V=7967"
2017-05-18 22:40:03,2017-05-18 22:40:03,47.55400,-120.50550,33,105,4699.71,"Ti=95/Te=50/P= 57084/V=7967"
